Player,Comp,Age,Min,Gls,Ast,Pos,Tkl,Int,Clr,Blocks,Succ,Carries,KP,xG,xAG,Club
Max Aarons,eng Premier League,24.0,86,0,0,DF,2,1,0,1,0,41,0,0.0,0.0,
Max Aarons,es La Liga,24.0,120,0,0,"DF,MF",4,0,3,1,1,46,1,0.0,0.0,
Rodrigo Abajas,es La Liga,21.0,65,0,0,DF,3,1,0,2,1,13,0,0.1,0.0,
James Abankwah,it Serie A,20.0,88,0,0,"DF,MF",4,1,3,0,0,29,0,0.1,0.0,
Keyliane Abdallah,fr Ligue 1,18.0,3,0,0,FW,1,0,0,0,0,1,0,0.0,0.0,
Yunis Abdelhamid,fr Ligue 1,36.0,1033,0,0,DF,17,14,57,1,3,322,2,0.2,0.1,
Himad Abdelli,fr Ligue 1,24.0,2842,6,1,"MF,FW",48,26,28,31,57,1183,39,6.4,3.2,
Mohamed Abdelmoneim,fr Ligue 1,25.0,855,0,0,DF,21,15,56,2,1,342,0,0.0,0.0,
Ali Abdi,fr Ligue 1,30.0,1393,5,2,"DF,MF",43,20,37,22,12,391,20,4.3,1.9,
Saud Abdulhamid,it Serie A,25.0,205,0,1,DF,3,2,0,3,3,90,2,0.0,0.2,
Abel,es La Liga,23.0,2074,2,0,DF,61,18,64,47,18,605,16,0.5,1.0,
Nabil Aberdin,es La Liga,21.0,263,0,0,MF,6,0,5,3,2,34,1,0.0,0.0,
Oliver Abildgaard,it Serie A,28.0,7,0,0,MF,0,0,0,0,0,0,0,0.0,0.0,
Matthis Abline,fr Ligue 1,21.0,2768,9,2,FW,11,4,36,27,35,587,27,8.5,3.8,
Abner,fr Ligue 1,24.0,1090,1,1,DF,29,5,41,19,6,426,11,0.6,1.1,
Zakaria Aboukhlal,fr Ligue 1,24.0,1901,7,2,"MF,FW",22,6,9,14,16,375,12,10.2,1.6,
Abdel Abqar,es La Liga,25.0,2463,0,1,DF,36,39,146,6,3,632,8,0.9,0.3,
Tammy Abraham,it Serie A,26.0,1,0,0,FW,0,0,0,0,0,3,0,0.0,0.0,
Tammy Abraham,it Serie A,26.0,1183,3,4,FW,17,2,16,6,4,158,14,7.1,2.2,
Federico Accornero,it Serie A,20.0,5,0,0,MF,0,0,0,1,0,5,0,0.0,0.0,
Francesco Acerbi,it Serie A,36.0,1710,0,1,DF,23,26,81,5,3,915,9,0.4,0.6,
Joshua Acheampong,eng Premier League,18.0,170,0,0,DF,2,1,2,2,1,106,0,0.2,0.0,
Akor Adams,es La Liga,24.0,134,0,0,FW,0,0,1,0,1,5,0,0.4,0.0,
Akor Adams,fr Ligue 1,24.0,1075,3,1,FW,4,1,5,7,7,126,12,4.3,1.0,
Che Adams,it Serie A,28.0,2652,9,3,FW,12,2,18,17,11,509,26,9.0,2.0,
Tyler Adams,eng Premier League,25.0,1965,0,3,MF,83,32,42,14,4,663,18,1.6,1.0,
Junior Adamu,de Bundesliga,23.0,1545,2,2,FW,9,12,20,12,10,275,17,5.5,2.4,
Tosin Adarabioyo,eng Premier League,26.0,1409,1,1,DF,17,11,80,3,4,777,1,0.9,0.2,
Martin Adeline,fr Ligue 1,20.0,26,0,0,MF,1,0,2,0,0,6,0,0.0,0.0,
Karim Adeyemi,de Bundesliga,22.0,1433,7,6,"FW,MF",20,7,5,20,40,417,28,5.5,6.0,
Simon Adingra,eng Premier League,22.0,1097,2,2,"FW,MF",23,8,6,12,21,366,16,2.5,2.5,
Amine Adli,de Bundesliga,24.0,766,2,0,"MF,FW",15,0,4,14,15,248,11,2.7,0.7,
Yacine Adli,it Serie A,24.0,1219,4,6,MF,32,6,19,12,12,618,23,1.0,2.4,
Adrián,es La Liga,37.0,1710,0,0,GK,0,0,14,4,0,390,0,0.0,0.0,
Adryelson,fr Ligue 1,26.0,1,0,0,DF,0,1,1,0,0,1,0,0.0,0.0,
Vasilije Adžić,it Serie A,18.0,42,0,0,"MF,FW",2,0,0,1,0,14,0,0.0,0.0,
Michel Aebischer,it Serie A,27.0,724,0,0,MF,18,7,6,4,3,291,8,0.4,0.4,
Oladapo Afolayan,de Bundesliga,26.0,1639,3,1,"FW,MF",17,8,20,31,48,495,21,3.1,3.8,
Emmanuel Agbadou,eng Premier League,27.0,1410,1,0,DF,30,12,90,5,10,758,4,0.8,0.2,
Emmanuel Agbadou,fr Ligue 1,27.0,1260,0,0,DF,25,19,64,4,9,621,8,0.5,0.3,
Asher Agbinone,eng Premier League,18.0,6,0,0,MF,2,0,0,0,0,5,1,0.0,0.0,
Jeremy Agbonifo,fr Ligue 1,18.0,300,1,0,"FW,MF",7,1,0,4,9,84,3,0.7,0.2,
Julen Agirrezabala,es La Liga,23.0,1206,0,0,GK,0,0,4,0,0,237,0,0.0,0.0,
Lucien Agoume,es La Liga,22.0,2114,1,3,MF,70,41,42,16,22,689,27,0.9,2.5,
Felix Agu,de Bundesliga,24.0,1751,3,0,DF,30,21,48,26,9,545,20,1.4,1.8,
Álvaro Aguado,es La Liga,28.0,443,0,1,MF,5,4,5,5,5,175,4,0.6,0.6,
Lorenzo Aguado,es La Liga,21.0,5,0,0,DF,0,0,2,0,0,1,0,0.0,0.0,
Nayef Aguerd,es La Liga,28.0,1760,0,0,DF,30,13,91,10,5,1019,5,2.4,0.1,
Ruben Aguilar,fr Ligue 1,31.0,1124,1,2,"DF,MF",34,13,23,29,9,518,11,0.8,1.9,
Naouirou Ahamada,fr Ligue 1,22.0,58,0,0,"MF,FW",0,2,2,0,0,16,0,0.0,0.0,
Honest Ahanor,it Serie A,16.0,270,0,0,"DF,MF",7,1,9,3,0,52,2,0.5,0.1,
Erik Ahlstrand,de Bundesliga,22.0,43,0,0,"FW,MF",0,1,1,0,0,12,0,0.0,0.0,
Jean-Eudes Aholou,fr Ligue 1,30.0,1959,2,0,MF,56,33,32,9,12,495,10,1.8,1.0,
Joseph Aidoo,es La Liga,28.0,583,0,0,DF,5,5,26,3,1,259,0,0.0,0.0,
Joseph Aidoo,es La Liga,28.0,2,0,0,DF,1,0,0,1,0,7,0,0.0,0.0,
Ayman Aiki,fr Ligue 1,19.0,127,0,0,"FW,MF",3,1,0,1,0,33,1,0.1,0.0,
Ola Aina,eng Premier League,27.0,2995,2,1,DF,55,33,115,46,33,749,16,0.6,1.4,
Rayan Aït-Nouri,eng Premier League,23.0,3109,4,7,DF,89,26,75,42,63,1129,46,2.7,5.5,
Junior Ajayi,it Serie A,19.0,13,0,0,FW,0,0,0,0,0,5,0,0.0,0.0,
Kristoffer Ajer,eng Premier League,26.0,1438,0,0,DF,26,12,50,18,7,387,8,1.0,1.2,
Ludovic Ajorque,fr Ligue 1,30.0,2495,13,2,FW,26,6,26,16,8,410,35,10.4,3.1,
Manuel Akanji,eng Premier League,29.0,2014,0,0,DF,19,9,64,6,2,1254,9,1.6,0.4,
Ümit Akdag,fr Ligue 1,20.0,500,0,0,DF,8,11,19,9,1,217,2,0.1,0.1,
Nathan Aké,eng Premier League,29.0,678,0,0,DF,9,3,22,3,1,403,1,0.2,0.0,
Ilias Akhomach,es La Liga,20.0,584,1,0,"MF,FW",12,3,13,7,19,200,9,0.6,1.0,
Sergio Akieme,fr Ligue 1,26.0,2523,2,3,DF,34,17,97,19,13,710,21,1.5,2.5,
Maghnes Akliouche,fr Ligue 1,22.0,2406,5,10,"FW,MF",51,15,13,34,50,999,49,9.2,7.3,
Paul Akouokou,fr Ligue 1,26.0,19,0,0,MF,1,1,0,1,0,14,0,0.0,0.0,
Clément Akpa,fr Ligue 1,22.0,2486,0,1,DF,55,42,141,20,8,895,8,0.3,0.9,
Jean-Daniel Akpa-Akpro,it Serie A,31.0,966,0,0,MF,30,13,16,13,12,306,3,0.3,0.2,
David Akpan Ankeye,it Serie A,22.0,45,0,0,"FW,MF",0,0,1,0,1,6,0,0.0,0.0,
Kevin Akpoguma,de Bundesliga,29.0,2220,0,0,DF,54,29,115,10,8,892,7,0.1,0.3,
Chuba Akpom,fr Ligue 1,28.0,639,3,1,FW,8,0,3,8,4,80,5,5.0,0.5,
David Alaba,es La Liga,32.0,317,0,0,DF,1,6,7,2,0,180,1,0.0,0.1,
Ibrahim Alani,es La Liga,18.0,160,0,0,MF,12,1,1,0,1,54,0,0.0,0.0,
Andreas Albers,de Bundesliga,34.0,62,1,0,FW,1,0,1,0,2,24,2,0.6,0.1,
Raúl Albiol,es La Liga,38.0,1188,0,0,DF,10,6,69,3,0,514,0,0.1,0.0,
Carlos Alcaraz,eng Premier League,21.0,10,0,0,MF,0,1,0,0,0,12,1,0.1,0.1,
Carlos Alcaraz,eng Premier League,21.0,764,2,3,"FW,MF",11,5,10,10,9,211,13,1.7,1.6,
Omar Alderete,es La Liga,27.0,2971,1,0,DF,43,40,241,14,18,633,11,1.7,0.9,
Carles Aleñá,es La Liga,26.0,452,0,0,"MF,FW",6,0,7,1,3,88,3,0.9,0.1,
Carles Aleñá,es La Liga,26.0,1090,0,2,"MF,FW",19,2,4,21,12,330,19,0.7,1.3,
Ben Alexander Voll,de Bundesliga,23.0,91,0,0,GK,0,0,0,0,0,33,1,0.0,0.1,
Trent Alexander-Arnold,eng Premier League,25.0,2365,3,6,DF,72,31,55,36,17,1183,52,1.9,7.3,
Alfon,es La Liga,25.0,1371,5,2,"FW,MF",8,5,5,27,25,374,24,4.6,2.6,
Mohamed Ali Cho,fr Ligue 1,20.0,1621,3,4,"FW,MF",13,5,8,23,20,460,30,4.0,4.0,
Faride Alidou,it Serie A,23.0,71,0,0,"FW,MF",0,1,3,0,2,17,1,0.0,0.0,
Alisson,eng Premier League,31.0,2508,0,0,GK,1,0,13,1,1,658,1,0.0,0.6,
Tadeo Allende,es La Liga,25.0,2,0,0,FW,0,0,0,1,0,3,0,0.0,0.0,
Jim Allevinah,fr Ligue 1,29.0,1750,1,3,FW,19,12,17,13,15,435,15,4.2,2.5,
Dele Alli,it Serie A,28.0,9,0,0,MF,0,0,0,0,0,3,0,0.0,0.0,
Thiago Almada,fr Ligue 1,23.0,951,1,4,"MF,FW",14,7,6,6,8,568,22,2.0,2.6,
Domingos André Ribeiro Almeida,es La Liga,24.0,1977,0,4,"MF,FW",48,8,14,17,22,676,43,1.2,3.2,
Iker Almena,es La Liga,20.0,48,0,1,"FW,DF",0,0,2,2,2,32,2,0.0,0.7,
Miguel Almirón,eng Premier League,30.0,157,0,0,FW,3,0,0,2,1,54,3,0.5,0.3,
Pontus Almqvist,it Serie A,25.0,1112,1,1,"FW,MF",17,19,8,11,20,298,10,2.1,1.3,
Marcos Alonso,es La Liga,33.0,2647,3,0,DF,35,34,126,24,16,1733,21,4.0,1.3,
Giorgio Altare,it Serie A,25.0,753,0,0,DF,13,17,49,2,5,235,1,0.2,0.1,
Adrià Altimira,es La Liga,23.0,1630,0,0,"DF,FW",41,15,54,11,10,370,11,0.3,0.5,
